Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
WGAN,44,150,0.1739,-0.3782,0.091,
WGAN,45,150,0.1688,-0.3599,0.0916,
WGAN,46,150,0.1586,-0.3801,0.1011,
WGAN,47,150,0.2051,-0.3614,0.0849,
WGAN,48,150,0.1555,-0.3375,0.0991,
WGAN,49,150,0.1698,-0.3421,0.1018,
WGAN,50,150,0.1596,-0.3433,0.0884,82.8052
WGAN,51,150,0.1657,-0.3018,0.0821,
WGAN,52,150,0.1058,-0.2137,0.1025,
WGAN,53,150,0.048,-0.1327,0.1167,
WGAN,54,150,0.0351,-0.1129,0.1286,
WGAN,55,150,0.0577,-0.1184,0.1283,
WGAN,56,150,0.0229,-0.1217,0.1399,
WGAN,57,150,0.0556,-0.1077,0.1122,
WGAN,58,150,0.0879,-0.1118,0.1731,
WGAN,59,150,0.013,-0.117,0.1346,
WGAN,60,150,0.0179,-0.1218,0.1411,109.9029
WGAN,61,150,0.0429,-0.1221,0.1372,
WGAN,62,150,0.0647,-0.1166,0.1479,
WGAN,63,150,0.0584,-0.1054,0.1199,
WGAN,64,150,0.0357,-0.1062,0.1252,
WGAN,65,150,0.0733,-0.1234,0.1283,
WGAN,66,150,-0.0076,-0.1163,0.1285,
WGAN,67,150,0.0176,-0.1051,0.1394,
WGAN,68,150,0.0151,-0.1059,0.1277,
WGAN,69,150,0.0307,-0.1112,0.1307,
WGAN,70,150,0.0467,-0.1139,0.1444,114.9051
WGAN,71,150,0.1065,-0.1082,0.1196,
WGAN,72,150,0.0701,-0.1148,0.1169,
WGAN,73,150,0.0826,-0.108,0.1241,
WGAN,74,150,0.0993,-0.1207,0.148,
WGAN,75,150,0.1636,-0.3363,0.0842,
WGAN,76,150,0.1991,-0.4019,0.0874,
WGAN,77,150,0.1584,-0.3288,0.1036,
WGAN,78,150,0.0683,-0.1429,0.0984,
WGAN,79,150,0.0486,-0.108,0.1089,
WGAN,80,150,0.0386,-0.1026,0.1373,107.8583
WGAN,81,150,0.0265,-0.1101,0.1291,
WGAN,82,150,0.0154,-0.113,0.1241,
WGAN,83,150,0.0509,-0.1114,0.1244,
WGAN,84,150,0.0492,-0.1068,0.1165,
WGAN,85,150,0.0399,-0.1087,0.1335,
WGAN,86,150,0.067,-0.0972,0.1105,
WGAN,87,150,0.0192,-0.1045,0.1278,
WGAN,88,150,0.0589,-0.1044,0.1096,
WGAN,89,150,0.0415,-0.1021,0.1371,
WGAN,90,150,0.0176,-0.1131,0.1256,111.3332
WGAN,91,150,0.0137,-0.1026,0.1231,
WGAN,92,150,0.0703,-0.0954,0.1117,
WGAN,93,150,0.0493,-0.1123,0.1164,
WGAN,94,150,0.0201,-0.1186,0.1287,
WGAN,95,150,0.0874,-0.1105,0.1443,
WGAN,96,150,0.0621,-0.1014,0.1273,
WGAN,97,150,0.0605,-0.1096,0.1138,
WGAN,98,150,0.0631,-0.1045,0.1248,
WGAN,99,150,0.0202,-0.1123,0.1199,
WGAN,100,150,0.0444,-0.1076,0.1168,117.1548
WGAN,101,150,0.062,-0.0991,0.1518,
WGAN,102,150,0.0342,-0.1072,0.1429,
WGAN,103,150,0.0647,-0.102,0.1142,
WGAN,104,150,0.063,-0.112,0.1252,
WGAN,105,150,0.0881,-0.2874,0.0913,
WGAN,106,150,0.1794,-0.3437,0.0936,
WGAN,107,150,0.1578,-0.3327,0.0851,
WGAN,108,150,0.2304,-0.3816,0.0937,
WGAN,109,150,0.2429,-0.3839,0.1009,
WGAN,110,150,0.2152,-0.3835,0.0853,81.1757
WGAN,111,150,0.2255,-0.3674,0.0908,
WGAN,112,150,0.2409,-0.3534,0.0905,
WGAN,113,150,0.2214,-0.3407,0.0938,
WGAN,114,150,0.2106,-0.3513,0.112,
WGAN,115,150,0.1864,-0.3484,0.1015,
WGAN,116,150,0.1733,-0.3163,0.1037,
WGAN,117,150,0.1602,-0.2541,0.0986,
WGAN,118,150,0.0951,-0.1894,0.1081,
WGAN,119,150,0.1007,-0.1165,0.1075,
WGAN,120,150,0.0392,-0.1004,0.1288,82.6396
WGAN,121,150,0.069,-0.1055,0.1155,
WGAN,122,150,0.1193,-0.0972,0.1178,
WGAN,123,150,0.0636,-0.1187,0.1228,
WGAN,124,150,0.08,-0.1023,0.1156,
WGAN,125,150,0.0388,-0.1026,0.1137,
WGAN,126,150,0.0424,-0.1044,0.1339,
WGAN,127,150,0.0291,-0.111,0.1371,
WGAN,128,150,0.0315,-0.0971,0.108,
WGAN,129,150,0.0479,-0.1141,0.1368,
WGAN,130,150,0.0031,-0.1098,0.1309,102.8811
WGAN,131,150,0.0681,-0.0998,0.1309,
WGAN,132,150,0.0419,-0.1013,0.1313,
WGAN,133,150,0.0519,-0.1223,0.1112,
WGAN,134,150,0.0436,-0.1007,0.1167,
WGAN,135,150,0.0576,-0.1094,0.1424,
WGAN,136,150,0.0579,-0.1759,0.104,
WGAN,137,150,0.0659,-0.1516,0.1106,
WGAN,138,150,0.017,-0.1038,0.1139,
WGAN,139,150,0.0499,-0.0993,0.1327,
WGAN,140,150,0.031,-0.1045,0.1192,92.1788
WGAN,141,150,0.0814,-0.1078,0.1185,
WGAN,142,150,0.016,-0.1079,0.1282,
WGAN,143,150,0.0391,-0.1033,0.1234,
WGAN,144,150,0.0408,-0.1012,0.1177,
WGAN,145,150,0.0788,-0.1003,0.1239,
WGAN,146,150,0.0585,-0.103,0.1087,
WGAN,147,150,0.0356,-0.1229,0.131,
WGAN,148,150,0.0465,-0.1031,0.1268,
WGAN,149,150,0.0464,-0.1089,0.1397,
WGAN,150,150,0.0103,-0.0907,0.1129,102.881
WGANGP,1,150,28.7204,-17.3202,0.0517,
WGANGP,2,150,38.5754,-6.9475,0.083,
WGANGP,3,150,73.4525,-4.7041,0.0632,
WGANGP,4,150,82.619,-12.0614,0.0724,
WGANGP,5,150,92.0905,-0.4184,0.0739,
